key	data	_attribution
suara angin	src/angin.wav	Ambiance_Wind_Trees_Leaves_Moderate_Loop_Stereo.wav by Nox_Sound -- https://freesound.org/s/546759/ -- License: Creative Commons 0
suara ayunan0	src/ayunan0.wav	Moaning Chair.aif by Housed1J -- https://freesound.org/s/175410/ -- License: Creative Commons 0
suara ayunan1	src/ayunan1.wav	painful_squeek_rust.wav by j1987 -- https://freesound.org/s/335752/ -- License: Creative Commons 0
suara stick	src/stick1.wav	wood knocks by 24163988 -- https://freesound.org/s/789872/ -- License: Attribution NonCommercial 4.0
suara card	src/cardshuffle.wav	Shuffle cards by Breviceps -- https://freesound.org/s/447918/ -- License: Creative Commons 0
suara payung	src/payung.wav	umbrella opening fast by humanoide9000 -- https://freesound.org/s/352590/ -- License: Attribution 4.0
suara pesawat	src/pesawat trim0.wav	Aircraft Dive.wav by Benboncan -- https://freesound.org/s/78518/ -- License: Attribution 4.0 Cruising 20013 feet.wav by digifishmusic -- https://freesound.org/s/41143/ -- License: Attribution 4.0
